Pokemon ID,Name,Type 1,Type 2,Description,Abilities,Catch Rate,Gender,Generation,HP,Attack,Defense,Sp. Atk,SP. Def,Speed,Total
1,Bulbasaur,Grass,Poison,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,"Overgrow, Chlorophyll",45,"87.5% male, 12.5% female",1,45,49,49,65,65,45,318
2,Ivysaur,Grass,Poison,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.","Overgrow, Chlorophyll",45,"87.5% male, 12.5% female",1,60,62,63,80,80,60,405
3,Venusaur,Grass,Poison,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,"Overgrow, Chlorophyll",45,"87.5% male, 12.5% female",1,80,82,83,100,100,80,525
4,Charmander,Fire,,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.","Blaze, Solar Power",45,"87.5% male, 12.5% female",1,39,52,43,60,50,65,309
5,Charmeleon,Fire,,"When it swings its burning tail, it elevates the temperature to unbearably high levels.","Blaze, Solar Power",45,"87.5% male, 12.5% female",1,58,64,58,80,65,80,405
6,Charizard,Fire,Flying,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,"Blaze, Solar Power",45,"87.5% male, 12.5% female",1,78,84,78,109,85,100,534
7,Squirtle,Water,,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.","Torrent, Rain Dish",45,"87.5% male, 12.5% female",1,44,48,65,50,64,43,314
8,Wartortle,Water,,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.","Torrent, Rain Dish",45,"87.5% male, 12.5% female",1,59,63,80,65,80,58,405
9,Blastoise,Water,,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,"Torrent, Rain Dish",45,"87.5% male, 12.5% female",1,79,83,100,85,105,78,530
10,Caterpie,Bug,,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,"Shield Dust, Run Away",255,"50% male, 50% female",1,45,30,35,20,20,45,195
11,Metapod,Bug,,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",Shed Skin,120,"50% male, 50% female",1,50,20,55,25,25,30,205
12,Butterfree,Bug,Flying,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.","Compound Eyes, Tinted Lens",45,"50% male, 50% female",1,60,45,50,90,80,70,395
13,Weedle,Bug,Poison,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.","Shield Dust, Run Away",255,"50% male, 50% female",1,40,35,30,20,20,50,195
14,Kakuna,Bug,Poison,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",Shed Skin,120,"50% male, 50% female",1,45,25,50,25,25,35,205
15,Beedrill,Bug,Poison,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.,"Swarm, Sniper",45,"50% male, 50% female",1,65,90,40,45,80,75,395
16,Pidgey,Normal,Flying,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,"Keen Eye, Tangled Feet, Big Pecks",255,"50% male, 50% female",1,40,45,40,35,35,56,251
17,Pidgeotto,Normal,Flying,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.","Keen Eye, Tangled Feet, Big Pecks",120,"50% male, 50% female",1,63,60,55,50,50,71,349
18,Pidgeot,Normal,Flying,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.","Keen Eye, Tangled Feet, Big Pecks",45,"50% male, 50% female",1,83,80,75,70,70,101,479
19,Rattata,Normal,,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.","Run Away, Guts, Hustle",255,"50% male, 50% female",1,30,56,35,25,35,72,253
20,Raticate,Normal,,It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.,"Run Away, Guts, Hustle",127,"50% male, 50% female",1,55,81,60,50,70,97,413
21,Spearow,Normal,Flying,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.,"Keen Eye, Sniper",255,"50% male, 50% female",1,40,60,30,31,31,70,262
22,Fearow,Normal,Flying,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.","Keen Eye, Sniper",90,"50% male, 50% female",1,65,90,65,61,61,100,442
23,Ekans,Poison,,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.","Intimidate, Shed Skin, Unnerve",255,"50% male, 50% female",1,35,60,44,40,54,55,288
24,Arbok,Poison,,It is rumored that the ferocious warning markings on its belly differ from area to area.,"Intimidate, Shed Skin, Unnerve",90,"50% male, 50% female",1,60,95,69,65,79,80,448
25,Pikachu,Electric,,"When several of these POKéMON gather, their electricity could build and cause lightning storms.","Static, Lightning Rod",190,"50% male, 50% female",1,35,55,40,50,50,90,320
26,Raichu,Electric,,Its long tail serves as a ground to protect itself from its own high voltage power.,"Static, Lightning Rod",75,"50% male, 50% female",1,60,90,55,90,80,110,485
27,Sandshrew,Ground,,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,"Sand Veil, Sand Rush",255,"50% male, 50% female",1,50,75,85,20,30,40,300
28,Sandslash,Ground,,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,"Sand Veil, Sand Rush",90,"50% male, 50% female",1,75,100,110,45,55,65,450
